profile,parameter,cgiar.shp.min,cgiar.shp.max,reported
oc.goat.aP,min_age_repro,15.8,16,reported
oc.goat.aP,NET_offtake_m2,0.27,0.34,missing
oc.goat.semiaridP,NET_offtake_y,0,0,missing
oc.goat.semiaridP,NET_offtake_m,0.14,0.21,missing
oc.goat.semiaridP,NET_offtake_f,0.14,0.21,missing
oc.goat.semiaridP,mortality_y,0.33,0.34,reported
oc.goat.semiaridP,mortality_a,0.118,0.122,reported
oc.goat.semiaridP,mortality_end,1,1,NA
oc.goat.semiaridP,birth_rate,1.2188,1.3542,reported
oc.goat.semiaridP,ppr_mortality_y,0,0,NA
oc.goat.semiaridP,ppr_mortality_a,0,0,NA
oc.goat.semiaridP,adu_f_max_yrs,7,7,default
oc.goat.semiaridP,adu_m_max_yrs,5,5,default
oc.goat.semiaridP,min_age_offtake,9,14,missing
oc.goat.semiaridP,min_age_repro,16.3,16.5,reported
oc.goat.semiaridP,NET_offtake_m2,0.14,0.21,missing
oc.goat.semiaridM,NET_offtake_y,0,0,missing
oc.goat.semiaridM,NET_offtake_m,0.14,0.21,missing
oc.goat.semiaridM,NET_offtake_f,0.14,0.21,missing
oc.goat.semiaridM,mortality_y,0.28,0.3,reported
oc.goat.semiaridM,mortality_a,0.08,0.102,reported
oc.goat.semiaridM,mortality_end,1,1,NA
oc.goat.semiaridM,birth_rate,1.4157,1.59012,reported
oc.goat.semiaridM,ppr_mortality_y,0,0,NA
oc.goat.semiaridM,ppr_mortality_a,0,0,NA
oc.goat.semiaridM,adu_f_max_yrs,7,7,default
oc.goat.semiaridM,adu_m_max_yrs,5,5,default
oc.goat.semiaridM,min_age_offtake,9,14,missing
oc.goat.semiaridM,min_age_repro,15,17,reported
oc.goat.semiaridM,NET_offtake_m2,0.14,0.21,missing
oc.goat.subhumidM,NET_offtake_y,0,0,missing
oc.goat.subhumidM,NET_offtake_m,0.12,0.31,missing
oc.goat.subhumidM,NET_offtake_f,0.12,0.31,missing
oc.goat.subhumidM,mortality_y,0.22,0.28,reported
oc.goat.subhumidM,mortality_a,0.138,0.142,reported
oc.goat.subhumidM,mortality_end,1,1,NA
oc.goat.subhumidM,birth_rate,1.62,1.67394,reported
oc.goat.subhumidM,ppr_mortality_y,0,0,NA
oc.goat.subhumidM,ppr_mortality_a,0,0,NA
oc.goat.subhumidM,adu_f_max_yrs,7,7,default
oc.goat.subhumidM,adu_m_max_yrs,5,5,default
oc.goat.subhumidM,min_age_offtake,9,14,missing
oc.goat.subhumidM,min_age_repro,15.3,15.5,reported
oc.goat.subhumidM,NET_offtake_m2,0.12,0.31,missing
oc.goat.humidM,NET_offtake_y,0,0,missing
oc.goat.humidM,NET_offtake_m,0.24,0.28,missing
oc.goat.humidM,NET_offtake_f,0.24,0.28,missing
