"";"w";"sum_pop";"prop_immune";"pR_noIm";"prop_inf";"pF";"pfKid";"pfSub";"pfAdu";"pmKid";"pmSub";"pmAdu";"pop_growth";"tenyr_growth"
"56";1300;708983,042203323;0;0;0;0,514791897096725;0,514791897096725;0,514791897096725;0,514791897096725;0,485208102903275;0,485208102903275;0,485208102903275;14185,2881161602;43,3524137818667
"57";1300;10316,6384730543;0;0;0;0,624693465241014;0,624693465241014;0,624693465241014;0,624693465241014;0,375306534758986;0,375306534758986;0,375306534758986;206,600092766434;8,74571160610374
"58";1300;546,986333630645;0;0;0;0,558749625992223;0,558749625992223;0,558749625992223;0,558749625992223;0,441250374007777;0,441250374007777;0,441250374007777;10,9527394595697;2,52341632429076
"59";1300;810,716418523195;0;0;0;0,472426497016272;0,472426497016272;0,472426497016272;0,472426497016272;0,527573502983728;0,527573502983728;0,527573502983728;16,2288821739916;2,82494122116034
"60";1300;2419382,5305671;0;0;0;0,534981710495264;0,534981710495264;0,534981710495264;0,534981710495264;0,465018289504736;0,465018289504736;0,465018289504736;48469,5793539803;71,1135089603887
"61";1300;1439,17688525069;0;0;0;0,570562536746372;0,570562536746372;0,570562536746372;0,570562536746372;0,429437463253628;0,429437463253628;0,429437463253628;28,8072181987605;3,82610821355329
"62";1300;5829,15652003748;0;0;0;0,647993195399565;0,647993195399565;0,647993195399565;0,647993195399565;0,352006804600435;0,352006804600435;0,352006804600435;116,678290482743;7,07319095662133
"63";1300;291,565071276151;0;0;0;0,5168345950212;0,5168345950212;0,5168345950212;0,5168345950212;0,4831654049788;0,4831654049788;0,4831654049788;5,8341513258146;1,93073125689198
"64";1300;2794911,19704145;0;0;0;0,575789007804828;0,575789007804828;0,575789007804828;0,575789007804828;0,424210992195172;0,424210992195172;0,424210992195172;55957,4320793331;77,969457026428
"65";1300;1474293,74046306;0;0;0;0,578460603287644;0,578460603287644;0,578460603287644;0,578460603287644;0,421539396712356;0,421539396712356;0,421539396712356;29523,8653889308;59,6059288114545
"66";1300;1016,53922268345;0;0;0;0,545703286680624;0,545703286680624;0,545703286680624;0,545703286680624;0,454296713319376;0,454296713319376;0,454296713319376;20,3600764650477;3,23262028079376
"67";1300;1316,18883452015;0;0;0;0,590786938576325;0,590786938576325;0,590786938576325;0,590786938576325;0,409213061423675;0,409213061423675;0,409213061423675;26,3653117604621;3,68776256909058
"68";1300;265,735782287974;0;0;0;0,524808190272673;0,524808190272673;0,524808190272673;0,524808190272673;0,475191809727327;0,475191809727327;0,475191809727327;5,32051988371083;1,87819007263126
"69";1300;3243,27370261134;0;0;0;0,590849351347191;0,590849351347191;0,590849351347191;0,590849351347191;0,409150648652809;0,409150648652809;0,409150648652809;64,9275655299382;5,40251555951263
"70";1300;3136,61415530326;0;0;0;0,531237288225839;0,53123728822584;0,53123728822584;0,53123728822584;0,468762711774161;0,468762711774161;0,468762711774161;62,8235488446008;5,08597020448067
"71";1300;6419448,622172;0;0;0;0,549220656106148;0,549220656106148;0,549220656106148;0,549220656106148;0,450779343893852;0,450779343893852;0,450779343893852;128609,77477819;105,298644264473
"72";1300;5873,15812125444;0;0;0;0,609622783656486;0,609622783656486;0,609622783656486;0,609622783656486;0,390377216343514;0,390377216343514;0,390377216343514;117,685232562699;6,88842156707195
"73";1300;3488,65790422357;0;0;0;0,634033809907324;0,634033809907324;0,634033809907324;0,634033809907324;0,365966190092676;0,365966190092676;0,365966190092676;69,8549286652075;5,71687375460177
"74";1300;7360293,12152367;0;0;0;0,490313974327281;0,490313974327281;0,490313974327281;0,490313974327281;0,509686025672718;0,509686025672718;0,509686025672718;147320,481773118;108,230961794931
"75";1300;796,727730518048;0;0;0;0,522802184039965;0,522802184039965;0,522802184039965;0,522802184039965;0,477197815960035;0,477197815960035;0,477197815960035;15,9612830559363;2,94060422194101
"76";1300;793,250835021547;0;0;0;0,603943961544149;0,603943961544149;0,603943961544149;0,603943961544149;0,396056038455851;0,396056038455851;0,396056038455851;15,8885351490648;3,07230625733867
"77";1300;3496,46941912696;0;0;0;0,588675943457074;0,588675943457074;0,588675943457074;0,588675943457074;0,411324056542926;0,411324056542926;0,411324056542926;70,0372947819393;5,55666905796004
"78";1300;94,1566088215865;0;0;0;0,573369559670663;0,573369559670663;0,573369559670663;0,573369559670663;0,426630440329337;0,426630440329337;0,426630440329337;1,88517527219577;1,2717509935931
"79";1300;378,169275263422;0;0;0;0,574389767239585;0,574389767239585;0,574389767239585;0,574389767239585;0,425610232760415;0,425610232760415;0,425610232760415;7,56993111199074;2,24967562707999
"80";1300;307199,752517439;0;0;0;0,596832258724774;0,596832258724774;0,596832258724774;0,596832258724774;0,403167741275226;0,403167741275226;0,403167741275226;6149,05434497907;32,7939040931128
"81";1300;1,0888177581454;0;0;0;0,59029283525481;0,59029283525481;0,59029283525481;0,59029283525481;0,40970716474519;0,40970716474519;0,40970716474519;0,021800979448841;0,218375825509501
"82";1300;1802,4591725086;0;0;0;0,496338082194515;0,496338082194515;0,496338082194515;0,496338082194515;0,503661917805485;0,503661917805485;0,503661917805485;36,0936541085355;3,97433804503909
"83";1300;1399,67879616967;0;0;0;0,618484835646932;0,618484835646932;0,618484835646932;0,618484835646932;0,381515164353068;0,381515164353068;0,381515164353068;28,0199793480389;3,93342467510552
"84";1300;1179084,28504632;0;0;0;0,582731073095259;0,582731073095259;0,582731073095259;0,582731073095259;0,417268926904741;0,417268926904741;0,417268926904741;23616,8218359581;56,4669505382944
"85";1300;17400,0659289409;0;0;0;0,555653006120577;0,555653006120577;0,555653006120577;0,555653006120577;0,444346993879423;0,444346993879423;0,444346993879423;348,140978129426;10,3246673165891
"86";1300;634,292957938747;0;0;0;0,621395686995789;0,621395686995789;0,621395686995789;0,621395686995789;0,378604313004211;0,378604313004211;0,378604313004211;12,703712997438;2,82664194305902
"87";1300;104,45457153318;0;0;0;0,466715924998591;0,466715924998591;0,466715924998591;0,466715924998591;0,533284075001409;0,533284075001409;0,533284075001409;2,09103695854673;1,23558112019851
"88";1300;1183016,97854564;0;0;0;0,593548164198288;0,593548164198288;0,593548164198288;0,593548164198288;0,406451835801712;0,406451835801712;0,406451835801712;23691,5169067371;56,9549988298937
"89";1300;127590,016938445;0;0;0;0,520257974735978;0,520257974735978;0,520257974735978;0,520257974735978;0,479742025264022;0,479742025264022;0,479742025264022;2555,48697084892;21,9681132594534
"90";1300;8651667,50685957;0;0;0;0,553773958567033;0,553773958567033;0,553773958567033;0,553773958567033;0,446226041432967;0,446226041432967;0,446226041432967;173290,091909084;121,022908092272
"91";1300;22905,0373484574;0;0;0;0,484361540255056;0,484361540255056;0,484361540255056;0,484361540255056;0,515638459744944;0,515638459744944;0,515638459744944;458,284078870559;10,7807989446749
"92";1300;271038,595405829;0;0;0;0,587951269205555;0,587951269205555;0,587951269205555;0,587951269205555;0,412048730794445;0,412048730794445;0,412048730794445;5429,86975171748;31,3018926331893
"93";1300;1981,85199379507;0;0;0;0,465058969968222;0,465058969968222;0,465058969968222;0,465058969968222;0,534941030031778;0,534941030031778;0,534941030031778;39,7303643800585;3,97713355057195
"94";1300;32255,1614356555;0;0;0;0,579868295640563;0,579868295640563;0,579868295640563;0,579868295640563;0,420131704359437;0,420131704359437;0,420131704359437;646,647114619887;13,1817072293337
"95";1300;7080,28036324107;0;0;0;0,627315113989584;0,627315113989584;0,627315113989584;0,627315113989584;0,372684886010416;0,372684886010416;0,372684886010416;141,702269956257;7,53367758031011
"96";1300;1312,35102587125;0;0;0;0,623818298905549;0,623818298905549;0,623818298905549;0,623818298905549;0,376181701094451;0,376181701094451;0,376181701094451;26,2947275811158;3,80472190854247
"97";1300;156735991,241195;0;0;0;0,579046884756057;0,579046884756057;0,579046884756057;0,579046884756057;0,420953115243943;0,420953115243943;0,420953115243943;3137215,47953009;391,664258914764
"98";1300;72,2516175183667;0;0;0;0,693379957887725;0,693379957887725;0,693379957887725;0,693379957887725;0,306620042112275;0,306620042112275;0,306620042112275;1,44692653692111;1,25856782037483
"99";1300;73729,1266866046;0;0;0;0,587580120914756;0,587580120914756;0,587580120914756;0,587580120914756;0,412419879085244;0,412419879085244;0,412419879085244;1476,67597059042;18,3142514884246
"100";1300;6985,18140753759;0;0;0;0,550355540738866;0,550355540738866;0,550355540738866;0,550355540738866;0,449644459261134;0,449644459261134;0,449644459261134;139,838750944954;7,02241649125076
"101";1300;404,763997988115;0;0;0;0,503698195398629;0,503698195398629;0,503698195398629;0,503698195398629;0,496301804601371;0,496301804601371;0,496301804601371;8,09773499877591;2,19090743031815
"102";1300;1189243,70613123;0;0;0;0,56220453896392;0,56220453896392;0,56220453896392;0,56220453896392;0,43779546103608;0,43779546103608;0,43779546103608;23805,7845759906;54,5685863534082
"103";1300;526498,238825525;0;0;0;0,510397246430194;0,510397246430194;0,510397246430194;0,510397246430194;0,489602753569805;0,489602753569805;0,489602753569805;10541,248630107;37,697709869685
"104";1300;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";1300;149577,044639036;0;0;0;0,529329777638345;0,529329777638345;0,529329777638345;0,529329777638345;0,470670222361655;0,470670222361655;0,470670222361655;2992,4376999404;23,1737563709222
"106";1300;31,992453469697;0;0;0;0,662531519527572;0,662531519527572;0,662531519527572;0,662531519527572;0,337468480472428;0,337468480472428;0,337468480472428;0,640178937442892;0,887813885509962
"107";1300;2453,77311033771;0;0;0;0,520849371687242;0,520849371687242;0,520849371687242;0,520849371687242;0,479150628312758;0,479150628312758;0,479150628312758;49,0904323165481;4,52670004778687
"108";1300;3036138,968371;0;0;0;0,555156365156651;0,555156365156652;0,555156365156652;0,555156365156652;0,444843634843348;0,444843634843348;0,444843634843348;60794,9934075551;80,6957572498851
"109";1300;2604,78855435717;0;0;0;0,550069050434935;0,550069050434935;0,550069050434935;0,550069050434935;0,449930949565065;0,449930949565065;0,449930949565065;52,1564458657814;4,76774732378503
"110";1300;193313576,194306;0;0;0;0,534210819866159;0,534210819866159;0,534210819866159;0,534210819866159;0,465789180133841;0,465789180133841;0,465789180133841;3869949,18616162;407,144635467037
"111";1300;2430,94050843018;0;0;0;0,428513723254871;0,428513723254871;0,428513723254871;0,428513723254871;0,571486276745129;0,571486276745129;0,571486276745129;48,6896850458682;4,21501754128723
"112";1300;165937,226548478;0;0;0;0,606328439245753;0,606328439245753;0,606328439245753;0,606328439245753;0,393671560754247;0,393671560754247;0,393671560754247;3322,05624017441;25,9387525218572
"113";1300;618,982530470587;0;0;0;0,586651098197392;0,586651098197392;0,586651098197392;0,586651098197392;0,413348901802608;0,413348901802608;0,413348901802608;12,3873967518201;2,77593645338071
"114";1300;46343,1945332333;0;0;0;0,543548223736118;0,543548223736118;0,543548223736118;0,543548223736118;0,456451776263882;0,456451776263882;0,456451776263882;928,287690465854;15,1105794730343
"115";1300;5928,59238350519;0;0;0;0,478444178806033;0,478444178806033;0,478444178806033;0,478444178806033;0,521555821193967;0,521555821193967;0,521555821193967;118,650274930015;6,1883975291118
"116";1300;42498,6727518265;0;0;0;0,530253515749467;0,530253515749467;0,530253515749467;0,530253515749467;0,469746484250533;0,469746484250533;0,469746484250533;851,241174002876;14,1816489383379
"117";1300;1054,7673309759;0;0;0;0,450926462286103;0,450926462286103;0,450926462286103;0,450926462286103;0,549073537713897;0,549073537713897;0,549073537713897;21,1181556867331;3,02888553923336
"118";1300;8812,452222903;0;0;0;0,676500052496931;0,676500052496931;0,676500052496931;0,676500052496931;0,323499947503069;0,323499947503069;0,323499947503069;176,480856470276;8,44341936668352
"119";1300;39920706,4108071;0;0;0;0,545274686935985;0,545274686935985;0,545274686935985;0,545274686935985;0,454725313064015;0,454725313064015;0,454725313064015;799186,996175584;218,066818767472
"120";1300;2539,95765297057;0;0;0;0,596471854395893;0,596471854395893;0,596471854395893;0,596471854395893;0,403528145604107;0,403528145604107;0,403528145604107;50,8660298221379;4,87466337308625
"121";1300;25,4350141190018;0;0;0;0,601555046644247;0,601555046644247;0,601555046644247;0,601555046644247;0,398444953355753;0,398444953355753;0,398444953355753;0,508968168429118;0,775525318919594
"122";1300;3505184,13066494;0;0;0;0,50735253407411;0,50735253407411;0,50735253407411;0,50735253407411;0,49264746592589;0,49264746592589;0,49264746592589;70166,943568703;80,659161859698
"123";1300;370,458717794215;0;0;0;0,563889822947058;0,563889822947058;0,563889822947058;0,563889822947058;0,436110177052942;0,436110177052942;0,436110177052942;7,41831670626266;2,21629421793759
"124";1300;1735,31599926197;0;0;0;0,651904472335032;0,651904472335032;0,651904472335032;0,651904472335032;0,348095527664968;0,348095527664968;0,348095527664968;34,7487020405956;4,33033999427524
"125";1300;296288,344549446;0;0;0;0,587297679906074;0,587297679906074;0,587297679906074;0,587297679906074;0,412702320093926;0,412702320093926;0,412702320093926;5935,41409096695;32,6149336411565
"126";1300;2783,30694726934;0;0;0;0,473156527665695;0,473156527665696;0,473156527665696;0,473156527665696;0,526843472334305;0,526843472334305;0,526843472334305;55,7234904618629;4,62200866746304
"127";1300;856,584010788524;0;0;0;0,525287867318152;0,525287867318152;0,525287867318152;0,525287867318152;0,474712132681848;0,474712132681848;0,474712132681848;17,1336679128806;2,99875729423365
"128";1300;461,820316751042;0;0;0;0,576024758018679;0,576024758018679;0,576024758018679;0,576024758018679;0,423975241981321;0,423975241981321;0,423975241981321;9,2473701765879;2,44362787401702
"129";1300;1673,01098459103;0;0;0;0,636575274968922;0,636575274968922;0,636575274968922;0,636575274968922;0,363424725031078;0,363424725031078;0,363424725031078;33,4766227537628;4,26504084319235
